ad_id,type,price,area,bedrooms,bathrooms,level,furnished,rent,city,region
Ad id 194281336,apartment,3790000,207,3,3,2,,no,giza,6th of october
Ad id 194198684,apartment,870000,155,3,3,4,no,no,cairo,new heliopolis
Ad id 191102186,apartment,1546400,170,3,2,9,,no,cairo,zahraa al maadi
Ad id 193951860,apartment,1300000,270,4,3,ground,no,no,sharqia,10th of ramadan
Ad id 194064010,duplex,5888000,387,4,4,ground,no,no,cairo,new cairo - el tagamoa
Ad id 194021448,apartment,950000,104,2,1,7,no,no,cairo,nasr city
Ad id 194294715,apartment,2100000,160,3,2,1,no,no,cairo,mostakbal city
Ad id 194320699,apartment,2550000,215,3,2,ground,no,no,giza,6th of october
Ad id 194316553,apartment,3994232,160,3,3,ground,no,no,cairo,new cairo - el tagamoa
Ad id 194217278,duplex,2310000,280,3,3,ground,no,no,giza,6th of october
Ad id 194191096,apartment,370000,145,3,2,3,,no,cairo,new cairo - el tagamoa
Ad id 194317768,apartment,3000000,103,2,1,3,,no,cairo,new capital city
Ad id 194318770,penthouse,2952000,140,3,3,3,no,no,cairo,new cairo - el tagamoa
Ad id 194284756,apartment,1327500,118,2,2,2,no,no,cairo,new capital city
Ad id 194217954,apartment,3300000,200,4,3,4,no,no,cairo,madinaty
Ad id 194249383,duplex,6095000,246,4,4,ground,no,no,giza,sheikh zayed
Ad id 194231461,apartment,1235000,88,2,2,6,no,no,cairo,nasr city
Ad id 194318289,apartment,3000000,185,3,3,1,no,no,cairo,shorouk city
Ad id 194248559,apartment,2400000,190,3,2,1,no,no,giza,sheikh zayed
Ad id 193663377,apartment,1500000,235,3,3,3,no,no,cairo,shorouk city
Ad id 193823063,apartment,6600000,186,3,3,ground,no,no,cairo,new cairo - el tagamoa
Ad id 194250863,apartment,3600000,183,3,2,2,,no,cairo,new cairo - el tagamoa
Ad id 186399763,apartment,1980000,218,4,3,2,,no,cairo,new cairo - el tagamoa
Ad id 194184868,duplex,780000,260,4,4,2,no,no,cairo,new cairo - el tagamoa
Ad id 193606276,apartment,1758000,155,3,2,3,,no,cairo,new cairo - el tagamoa
Ad id 194292038,apartment,1750000,168,3,2,1,no,no,cairo,new cairo - el tagamoa
Ad id 194110294,apartment,4400000,165,3,3,3,no,no,cairo,new cairo - el tagamoa
Ad id 194282872,apartment,3800000,192,3,3,ground,,no,cairo,new cairo - el tagamoa
Ad id 194267739,apartment,2748000,148,3,2,5,no,no,cairo,new cairo - el tagamoa
Ad id 194254501,apartment,390000,165,3,3,2,,no,cairo,new cairo - el tagamoa
Ad id 193689694,apartment,2575000,275,4,3,1,no,no,giza,6th of october
Ad id 194150565,apartment,1960000,200,3,3,3,no,no,cairo,new cairo - el tagamoa
Ad id 194321122,penthouse,498000,161,3,2,5,no,no,cairo,new cairo - el tagamoa
Ad id 194165833,apartment,1280000,197,3,3,1,no,no,giza,6th of october
Ad id 194321314,duplex,4016517,175,3,3,ground,no,no,giza,6th of october
Ad id 194283343,apartment,370000,155,3,2,3,,no,cairo,new cairo - el tagamoa
Ad id 194265260,apartment,3700000,155,3,3,3,no,no,cairo,new cairo - el tagamoa
Ad id 194242646,apartment,960000,130,3,2,2,no,no,cairo,new cairo - el tagamoa
Ad id 194149483,apartment,3800000,147,3,2,ground,no,no,cairo,new cairo - el tagamoa
Ad id 194186459,apartment,3100000,174,2,2,3,no,no,cairo,new cairo - el tagamoa
Ad id 194234507,apartment,2600000,165,3,3,3,no,no,cairo,new cairo - el tagamoa
Ad id 194251190,apartment,1650000,116,3,2,4,no,no,cairo,madinaty
Ad id 194305482,apartment,600000,205,3,2,3,no,no,cairo,shorouk city
Ad id 193947156,apartment,165000,110,2,1,10,no,no,cairo,new nozha
Ad id 194321313,duplex,73000,300,3,3,ground,yes,yes,cairo,mokattam
Ad id 194269435,studio,15000,105,1,1,highest,yes,yes,giza,6th of october
Ad id 194266494,apartment,12000,200,3,3,1,no,yes,cairo,new cairo - el tagamoa
Ad id 194325693,apartment,8500,130,3,2,2,yes,yes,cairo,new cairo - el tagamoa
Ad id 192775003,apartment,1200,180,3,2,2,yes,yes,cairo,new cairo - el tagamoa
Ad id 194281360,apartment,5000,130,2,1,3,no,yes,cairo,new cairo - el tagamoa
Ad id 194337594,apartment,8500,200,3,1,ground,no,yes,cairo,nasr city
Ad id 192108854,apartment,3000,170,3,2,ground,,yes,giza,hadayek al-ahram
Ad id 194318105,apartment,7000,160,3,2,ground,no,yes,cairo,new cairo - el tagamoa
Ad id 194114556,apartment,3000,130,3,2,2,no,yes,cairo,new cairo - el tagamoa
Ad id 194232763,apartment,15000,280,4,2,6,no,yes,cairo,nasr city
Ad id 194265773,apartment,18000,134,3,2,3,no,yes,giza,sheikh zayed
Ad id 194168189,apartment,22000,266,3,3,2,,yes,giza,6th of october
Ad id 194298652,duplex,23000,240,3,3,2,no,yes,giza,sheikh zayed
Ad id 194298915,apartment,12000,70,2,1,3,,yes,giza,sheikh zayed
Ad id 194323453,apartment,11000,200,2,2,10,no,yes,alexandria,kafr abdo
Ad id 194266361,apartment,18000,108,3,1,2,yes,yes,cairo,rehab city
Ad id 194239897,apartment,10000,171,3,3,2,no,yes,cairo,rehab city
Ad id 194168066,apartment,22500,250,3,3,3,yes,yes,cairo,nasr city
Ad id 194315439,apartment,15000,400,4,3,2,,yes,cairo,new cairo - el tagamoa
Ad id 194305318,apartment,21000,208,3,3,3,no,yes,cairo,new cairo - el tagamoa
Ad id 194234345,apartment,22500,210,3,3,4,no,yes,cairo,new cairo - el tagamoa
Ad id 194280827,apartment,20000,330,3,3,3,yes,yes,cairo,new cairo - el tagamoa
Ad id 194058816,apartment,14000,137,3,2,3,yes,yes,cairo,madinaty
Ad id 193911133,apartment,30000,197,3,3,2,yes,yes,cairo,new cairo - el tagamoa
Ad id 194254521,apartment,30000,133,2,2,4,yes,yes,cairo,new cairo - el tagamoa
Ad id 194236928,apartment,10000,200,3,3,ground,,yes,cairo,new cairo - el tagamoa
Ad id 194305108,apartment,4000,120,3,1,3,no,yes,cairo,nasr city
Ad id 194222408,apartment,11000,150,3,2,ground,yes,yes,cairo,new cairo - el tagamoa
Ad id 194211880,apartment,35000,390,4,4,6,no,yes,cairo,heliopolis
Ad id 194270527,duplex,45000,253,4,3,ground,yes,yes,cairo,new cairo - el tagamoa
Ad id 194226863,apartment,17000,148,2,3,3,no,yes,cairo,new cairo - el tagamoa
Ad id 194200889,apartment,7000,170,3,2,3,no,yes,alexandria,smoha
Ad id 187728009,apartment,250,90,2,1,7,yes,yes,giza,tersa
Ad id 194302201,apartment,27000,140,2,3,2,yes,yes,cairo,new cairo - el tagamoa
Ad id 194266245,apartment,500,175,2,2,6,yes,yes,cairo,nasr city
